Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,Style_ID,TrimName
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2025,463357,4,Sport Utility,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2026,481251,4,4dr Car,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2026,481252,4,4dr Car,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2026,481253,4,4dr Car,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2026,481254,4,4dr Car,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2026,481255,4,4dr Car,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2026,481256,4,4dr Car,N Line Ultimate
Luxury Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2026,481260,4,4dr Car,Luxury
Luxury Sedan W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2026,481261,4,4dr Car,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2026,480293,4,4dr Car,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2026,480294,4,4dr Car,
Tcr Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANNTC,2026,480295,4,4dr Car,TCR
Tcr Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANNTC,2026,480296,4,4dr Car,TCR
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2026,480462,4,Sport Utility,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2026,480463,4,Sport Utility,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2026,480464,4,Sport Utility,Preferred
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,I9EW7ZE4ES00,2026,476069,4,Sport Utility,Essential
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PR00,2026,476070,4,Sport Utility,Preferred
Preferred Awd W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PRLP,2026,476071,4,Sport Utility,Preferred
Preferred + Awd W/ultimate Calligraphy Package,ALL_WHEEL_DRIVE,HYUNDAI,I9EW6ZE1PRBG,2026,476072,4,Sport Utility,Preferred +
Preferred + Awd,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE1PR00,2026,477563,4,Sport Utility,Preferred +
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2026,479275,4,Sport Utility,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2026,479276,4,Sport Utility,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2026,479277,4,Sport Utility,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2026,479278,4,Sport Utility,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2026,479279,4,Sport Utility,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2026,479280,4,Sport Utility,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2026,479281,4,Sport Utility,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2026,479282,4,Sport Utility,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2026,479283,4,Sport Utility,N Line Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2026,481446,4,Sport Utility,Preferred
