Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A200,2023,432778,4,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A266,2023,432779,4,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A400,2023,432780,4,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A489,2023,432781,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BES00,2024,449710,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPR00,2024,449711,4,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BPRTE,2024,449712,4,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLU00,2024,449713,4,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4V2BLUME,2024,449714,4,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4U1ANLUL,2024,449715,4,N Line Ultimate
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHE,2024,449812,4,Luxury
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,ELHS4T1BLUHM,2024,449813,4,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS472ANN00,2024,456372,4,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,ELCS4M2ANN00,2024,456373,4,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE4PRLR,2024,449830,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRLR,2024,449831,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRUP,2024,449832,4,Preferred
Preferred Awd Long Range W/luxury Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,I5EW5ZE2PRLP,2024,449833,4,Preferred
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE4PRLR,2024,449183,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE2PRLR,2024,449184,4,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE2PRUP,2024,449185,4,Preferred
Preferred Rwd Long Range W/ultimate Package,REAR_WHEEL_DRIVE,HYUNDAI,,I6ES4ZE4PRUP,2024,449186,4,Preferred
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BES00,2024,446865,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KOCW5V2BPR00,2024,446866,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BES00,2024,446867,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPR00,2024,446868,4,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5Q2BPRTR,2024,446869,4,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANL00,2024,446870,4,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLTT,2024,446871,4,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLUL,2024,446872,4,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KOCW5K1ANLBA,2024,446887,4,N Line Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4PR00,2024,451911,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4UL00,2024,451912,4,Ultimate
Ultimate Fwd W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4ULTT,2024,451913,4,Ultimate
