Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Ultimate Fwd W/sage-Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,KEEW5ZE4ULBF,2024,451914,4,Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NXFW5ZH1PR00,2024,452614,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NXFW5ZH1UL00,2024,452615,4,Ultimate
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3DPR00,2024,443076,4,Preferred
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW8K3DUR00,2024,443077,4,Urban
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DUR91,2024,443078,4,Urban
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DULC7,2024,443079,4,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PACW7K3DULCB,2024,443080,4,Ultimate Calligraphy
Preferred Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DPR00,2024,445090,4,Preferred
Trend Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DPRTR,2024,445091,4,Trend
Ultimate Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DUL00,2024,445092,4,Ultimate
Ultimate Awd W/colour Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DUL95,2024,445093,4,Ultimate
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DPRBB,2024,452018,4,Preferred
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DPRBC,2024,452019,4,Trend
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DULBB,2024,452020,4,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,,SZCP5N2DULBD,2024,452021,4,Ultimate
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW6N2DULBG,2024,454772,4,Ultimate Calligraphy
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW7N2DXR00,2024,454773,4,XRT
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SACW7N2DLU00,2024,454774,4,Luxury
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,,SACW6N2DULBH,2024,454775,4,Ultimate Calligraphy
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRHE,2024,454776,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW7G1APRTH,2024,454777,4,Preferred
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SAHW6G1AULCS,2024,458472,4,Ultimate Calligraphy NHL Special Edition
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,SOCS4J2EPRTR,2024,452616,4,Preferred-Trend
