Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID,TrimName
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2025,Ultimate,4,461940,Sport Utility,AWD
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2025,Essential,4,463352,Sport Utility,IVT
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2025,Essential,4,463353,Sport Utility,IVT w/Two-Tone
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2025,Preferred,4,463354,Sport Utility,IVT
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2025,Preferred,4,463355,Sport Utility,IVT w/Two-Tone
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2025,Ultimate,4,463356,Sport Utility,IVT w/Black Interior
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2025,Ultimate,4,463357,Sport Utility,IVT w/Denim Interior
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2026,Essential,4,481251,4dr Car,IVT
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2026,Preferred,4,481252,4dr Car,IVT
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2026,Preferred,4,481253,4dr Car,IVT w/Tech Pkg
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2026,Luxury,4,481254,4dr Car,IVT
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2026,Luxury,4,481255,4dr Car,IVT w/Two-Tone Interior
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2026,N Line Ultimate,4,481256,4dr Car,DCT
Luxury Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2026,Luxury,4,481260,4dr Car,Sedan
Luxury Sedan W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2026,Luxury,4,481261,4dr Car,Sedan w/Two-Tone Interior
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2026,,4,480293,4dr Car,Manual
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2026,,4,480294,4dr Car,DCT
Tcr Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANNTC,2026,TCR,4,480295,4dr Car,Manual
Tcr Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANNTC,2026,TCR,4,480296,4dr Car,DCT
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2026,Preferred,4,480462,Sport Utility,RWD Long Range
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2026,Preferred,4,480463,Sport Utility,AWD Long Range
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2026,Preferred,4,480464,Sport Utility,AWD Long Range w/Ultimate Pkg
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,I9EW7ZE4ES00,2026,Essential,4,476069,Sport Utility,RWD
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PR00,2026,Preferred,4,476070,Sport Utility,AWD
Preferred Awd W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PRLP,2026,Preferred,4,476071,Sport Utility,AWD w/Luxury Pkg
Preferred + Awd W/ultimate Calligraphy Package,ALL_WHEEL_DRIVE,HYUNDAI,I9EW6ZE1PRBG,2026,Preferred +,4,476072,Sport Utility,AWD w/Ultimate Calligraphy Pkg
Preferred + Awd,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE1PR00,2026,Preferred +,4,477563,Sport Utility,AWD
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2026,Essential,4,479275,Sport Utility,2.0L FWD
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2026,Preferred,4,479276,Sport Utility,2.0L FWD
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2026,Essential,4,479277,Sport Utility,2.0L AWD
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2026,Preferred,4,479278,Sport Utility,2.0L AWD
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2026,Preferred,4,479279,Sport Utility,2.0L AWD w/Trend Package
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2026,N Line,4,479280,Sport Utility,1.6T AWD
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2026,N Line,4,479281,Sport Utility,1.6T AWD w/Two-Tone Roof
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2026,N Line Ultimate,4,479282,Sport Utility,1.6T AWD
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2026,N Line Ultimate,4,479283,Sport Utility,1.6T AWD w/Two-Tone Roof
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2026,Preferred,4,481446,Sport Utility,FWD
